Veh_value,Exposure,Claim_recorded,Claims_cost,Veh_body,Veh_age,Gender,Area,Age_category
37100.0,0.76659822,0,0.0,STNWG,1,F,C,3
14000.0,0.616016427,0,0.0,SEDAN,3,F,A,4
17800.0,0.618754278,0,0.0,SEDAN,2,F,C,2
4100.0,0.344969199,0,0.0,HBACK,4,F,B,3
10300.0,0.648870637,0,0.0,HBACK,2,F,A,4
3800.0,0.52019165,0,0.0,HBACK,4,F,B,4
13799.999999999998,0.854209446,0,0.0,HBACK,2,M,A,2
12200.0,0.854209446,0,0.0,HBACK,3,M,C,4
70400.0,0.314852841,0,0.0,STNWG,1,M,A,5
7600.0,0.539356605,1,401.8054514,HBACK,3,M,C,4
14400.0,0.030116359,0,0.0,HBACK,2,F,C,1
13899.999999999998,0.317590691,0,0.0,HBACK,3,F,C,2
10000.0,0.287474333,0,0.0,STNWG,4,M,C,3
40900.0,0.848733744,0,0.0,UTE,1,M,A,2
10500.0,0.421629021,0,0.0,HDTOP,4,F,C,6
18900.0,0.654346338,1,1811.709997,STNWG,3,M,F,2
17700.0,0.249144422,0,0.0,HBACK,2,F,E,1
11299.999999999998,0.303901437,0,0.0,STNWG,4,M,A,1
8800.0,0.536618754,0,0.0,COUPE,4,M,B,4
8300.0,0.344969199,0,0.0,SEDAN,4,M,C,5
7000.0,0.249144422,0,0.0,SEDAN,4,F,C,1
17900.0,0.673511294,0,0.0,UTE,4,F,E,3
17900.0,0.046543463,0,0.0,HBACK,1,M,C,6
11299.999999999998,0.229979466,0,0.0,SEDAN,3,M,A,3
19800.0,0.229979466,0,0.0,UTE,3,M,A,2
6800.000000000001,0.249144422,0,0.0,HBACK,3,F,E,3
13000.0,0.229979466,0,0.0,HBACK,2,F,B,1
22900.0,0.030116359,0,0.0,UTE,2,M,C,2
12200.0,0.394250513,0,0.0,HBACK,3,M,C,3
31400.0,0.306639288,0,0.0,UTE,2,F,A,2
16500.0,0.722792608,0,0.0,SEDAN,3,M,C,4
21700.0,0.344969199,0,0.0,STNWG,3,F,F,5
24700.000000000004,0.670773443,0,0.0,HDTOP,3,M,D,2
11299.999999999998,0.229979466,0,0.0,SEDAN,3,M,B,6
6700.0,0.027378508,0,0.0,HBACK,4,F,A,5
13600.000000000002,0.229979466,0,0.0,HBACK,1,F,C,5
7300.0,0.769336071,0,0.0,SEDAN,4,M,E,5
13899.999999999998,0.093086927,0,0.0,SEDAN,3,M,A,2
7600.0,0.344969199,0,0.0,SEDAN,4,M,D,3
5300.0,0.229979466,0,0.0,HBACK,4,F,B,3
4500.0,0.616016427,0,0.0,HBACK,4,F,A,6
5900.0,0.616016427,0,0.0,COUPE,4,F,A,4
15500.0,0.616016427,0,0.0,SEDAN,2,F,E,5
15600.0,0.246406571,0,0.0,SEDAN,1,F,D,5
4100.0,0.616016427,0,0.0,SEDAN,4,F,A,5
26490.0,0.257357974,1,9424.349976,TRUCK,1,M,A,1
17400.0,0.257357974,0,0.0,SEDAN,2,F,A,2
16200.000000000002,0.093086927,0,0.0,STNWG,4,F,F,3
37300.0,0.616016427,0,0.0,STNWG,2,M,A,5
8200.0,0.616016427,0,0.0,HBACK,4,F,A,6
13300.0,0.616016427,0,0.0,TRUCK,4,M,F,1
12200.0,0.616016427,0,0.0,HBACK,3,M,A,4
16600.0,0.90349076,0,0.0,STNWG,3,F,A,3
9800.0,0.616016427,0,0.0,SEDAN,3,F,B,3
29700.000000000004,0.098562628,0,0.0,STNWG,1,M,F,4
27400.000000000004,0.941820671,0,0.0,STNWG,2,M,C,3
14200.0,0.254620123,0,0.0,HBACK,1,M,C,3
16700.0,0.38329911,0,0.0,STNWG,2,F,E,5
5800.0,0.646132786,0,0.0,HBACK,4,M,A,3
16600.0,0.128678987,0,0.0,SEDAN,2,M,F,3
16600.0,0.229979466,0,0.0,SEDAN,3,M,C,5
11800.0,0.219028063,0,0.0,STNWG,4,F,B,3
6500.0,0.785763176,0,0.0,MIBUS,4,F,B,5
17300.0,0.249144422,0,0.0,SEDAN,2,M,F,3
61000.0,0.249144422,0,0.0,SEDAN,1,M,C,5
45599.99999999999,0.648870637,0,0.0,MIBUS,2,M,C,3
14800.0,0.199863108,0,0.0,HBACK,1,F,C,5
43200.0,0.646132786,1,736.8499985,STNWG,2,M,A,5
60700.0,0.249144422,0,0.0,STNWG,1,M,E,3
4700.0,0.199863108,0,0.0,SEDAN,4,M,A,3
18400.0,0.353182752,0,0.0,STNWG,4,F,B,4
28100.0,0.851471595,1,353.77,STNWG,1,M,C,3
30099.999999999996,0.848733744,0,0.0,STNWG,2,M,E,4
16000.0,0.249144422,0,0.0,HBACK,2,F,D,4
14300.0,0.646132786,0,0.0,STNWG,4,F,D,6
7900.0,0.235455168,0,0.0,SEDAN,4,F,C,4
12600.0,0.355920602,0,0.0,HBACK,3,F,C,1
14100.0,0.999315537,0,0.0,SEDAN,2,F,A,2
7300.0,0.851471595,0,0.0,HBACK,3,F,C,1
30000.0,0.613278576,1,6372.029999,STNWG,3,F,C,2
11399.999999999998,0.145106092,0,0.0,UTE,4,M,A,2
4700.0,0.391512663,0,0.0,STNWG,4,F,D,3
11700.0,0.125941136,0,0.0,STNWG,4,M,C,3
18300.0,0.353182752,0,0.0,SEDAN,3,M,C,1
9900.0,0.249144422,0,0.0,HBACK,2,F,E,5
18400.0,0.851471595,0,0.0,HBACK,2,F,A,4
15100.0,0.227241615,0,0.0,HDTOP,4,M,C,2
19000.0,0.224503765,0,0.0,STNWG,4,F,C,4
9000.0,0.224503765,0,0.0,SEDAN,3,F,A,6
10300.0,0.646132786,0,0.0,HBACK,2,F,C,2
6200.0,0.851471595,0,0.0,COUPE,4,M,A,4
20400.0,0.249144422,0,0.0,HBACK,1,M,B,1
15000.0,0.027378508,0,0.0,HBACK,2,F,C,3
13000.0,0.13963039,0,0.0,HDTOP,4,M,C,3
9900.0,0.027378508,0,0.0,SEDAN,3,F,B,5
36900.0,0.750171116,0,0.0,TRUCK,2,M,C,1
13899.999999999998,0.829568789,0,0.0,HBACK,1,F,A,4
28200.0,0.829568789,0,0.0,STNWG,1,M,A,5
31400.0,0.851471595,1,19142.13268,TRUCK,3,M,C,1
17100.0,0.358658453,0,0.0,SEDAN,2,F,A,3
11200.000000000002,0.309377139,0,0.0,HBACK,3,F,C,2
13490.0,0.547570157,0,0.0,HBACK,1,F,C,3
18100.0,0.720054757,0,0.0,HBACK,4,M,C,2
10000.0,0.224503765,0,0.0,HBACK,3,F,B,2
9200.0,0.027378508,0,0.0,SEDAN,3,M,C,4
17400.0,0.216290212,0,0.0,SEDAN,2,F,C,4
13700.000000000002,0.845995893,0,0.0,HBACK,1,F,C,1
22340.0,0.851471595,0,0.0,SEDAN,1,F,D,6
4300.0,0.093086927,0,0.0,HBACK,4,F,A,6
24700.000000000004,0.372347707,0,0.0,SEDAN,1,F,A,5
33000.0,0.906228611,1,2349.349999,STNWG,2,M,A,5
65600.0,0.908966461,0,0.0,STNWG,1,F,E,5
41100.0,0.895277207,0,0.0,STNWG,3,F,C,3
8600.0,0.906228611,0,0.0,SEDAN,4,M,E,4
18900.0,0.911704312,0,0.0,UTE,3,M,E,5
16400.0,0.892539357,0,0.0,SEDAN,2,M,B,6
40000.0,0.616016427,0,0.0,STNWG,2,F,A,4
13400.0,0.1724846,0,0.0,HBACK,2,F,B,3
10300.0,0.344969199,0,0.0,HBACK,3,F,D,4
19000.0,0.191649555,0,0.0,PANVN,3,M,C,5
21100.0,0.87063655,0,0.0,HBACK,2,F,C,3
18200.0,0.750171116,0,0.0,UTE,1,M,D,4
22200.000000000004,0.391512663,0,0.0,HDTOP,3,F,C,2
11200.000000000002,0.646132786,0,0.0,STNWG,4,M,A,3
16700.0,0.093086927,0,0.0,TRUCK,1,M,B,2
20099.999999999996,0.55578371,0,0.0,TRUCK,3,M,F,5
14200.0,0.646132786,0,0.0,HBACK,1,F,C,6
17700.0,0.643394935,0,0.0,SEDAN,2,M,C,4
7300.0,0.906228611,0,0.0,SEDAN,4,M,C,6
13990.0,0.769336071,0,0.0,HBACK,1,F,B,5
13100.0,0.199863108,0,0.0,UTE,4,M,C,5
14200.0,0.900752909,0,0.0,HBACK,1,F,C,3
40000.0,0.229979466,0,0.0,STNWG,2,M,C,3
11900.0,0.093086927,0,0.0,UTE,4,M,B,4
4700.0,0.750171116,0,0.0,HBACK,4,F,C,1
20099.999999999996,0.027378508,0,0.0,UTE,3,F,F,3
14500.0,0.199863108,0,0.0,SEDAN,2,F,D,2
10300.0,0.229979466,0,0.0,STNWG,3,F,A,1
32200.000000000004,0.851471595,0,0.0,UTE,1,M,C,3
44600.0,0.191649555,1,989.9199982,COUPE,2,M,B,2
10600.0,0.925393566,0,0.0,STNWG,3,M,E,4
14100.0,0.073921971,0,0.0,HBACK,2,F,C,6
3400.0000000000005,0.643394935,0,0.0,SEDAN,4,F,D,4
15780.0,0.851471595,0,0.0,HBACK,1,M,A,4
13600.000000000002,0.027378508,0,0.0,SEDAN,2,F,C,4
56500.0,0.10403833,0,0.0,STNWG,1,M,C,3
10700.0,0.331279945,0,0.0,STNWG,4,M,B,3
15100.0,0.646132786,0,0.0,UTE,3,M,B,3
17500.0,0.221765914,0,0.0,HBACK,2,F,B,2
13000.0,0.249144422,0,0.0,HBACK,2,F,C,5
12300.0,0.772073922,0,0.0,HBACK,2,M,C,1
19000.0,0.227241615,0,0.0,SEDAN,1,F,A,4
12900.0,0.925393566,1,200.0,SEDAN,3,M,D,3
3000.0,0.229979466,0,0.0,HBACK,4,M,B,4
12300.0,0.851471595,0,0.0,HBACK,3,F,B,4
20299.999999999996,0.689938398,0,0.0,SEDAN,2,F,A,5
7600.0,0.227241615,0,0.0,SEDAN,4,F,B,1
17400.0,0.720054757,0,0.0,HBACK,2,F,A,6
12800.0,0.605065024,0,0.0,STNWG,4,M,F,4
6700.0,0.227241615,0,0.0,COUPE,4,F,B,3
21000.0,0.249144422,0,0.0,COUPE,3,F,A,3
18200.0,0.224503765,0,0.0,HBACK,1,F,A,4
18500.0,0.27926078,0,0.0,SEDAN,2,F,C,3
27799.999999999996,0.073921971,0,0.0,SEDAN,2,M,C,5
9300.0,0.851471595,0,0.0,SEDAN,4,F,B,4
32200.000000000004,0.309377139,0,0.0,HDTOP,2,F,F,2
24100.0,0.750171116,1,12879.65997,HBACK,1,F,B,3
11100.000000000002,0.224503765,0,0.0,UTE,4,M,C,2
18600.0,0.221765914,0,0.0,SEDAN,1,M,C,1
34700.0,0.246406571,1,937.2799988,SEDAN,1,M,B,3
20000.0,0.1724846,0,0.0,SEDAN,2,F,C,4
14280.0,0.525667351,0,0.0,HBACK,1,F,C,4
16100.000000000002,0.27926078,0,0.0,HBACK,2,F,F,1
16000.0,0.908966461,0,0.0,SEDAN,2,F,B,5
21500.0,0.908966461,0,0.0,UTE,3,M,D,6
19800.0,0.911704312,1,2659.369995,STNWG,4,M,C,6
4800.0,0.908966461,0,0.0,SEDAN,4,F,C,2
13000.0,0.224503765,0,0.0,HBACK,2,F,A,2
40900.0,0.906228611,0,0.0,STNWG,2,M,B,4
21600.0,0.906228611,0,0.0,SEDAN,1,F,A,4
6000.0,0.093086927,0,0.0,SEDAN,4,F,A,6
22000.0,0.911704312,0,0.0,SEDAN,2,M,D,6
16299.999999999998,0.889801506,0,0.0,STNWG,4,M,C,4
30000.0,0.002737851,0,0.0,HDTOP,1,M,B,1
8900.0,0.095824778,0,0.0,SEDAN,4,F,E,2
9000.0,0.911704312,0,0.0,HBACK,4,M,A,5
17400.0,0.906228611,0,0.0,SEDAN,2,F,A,6
41800.0,0.848733744,0,0.0,STNWG,2,F,A,5
17400.0,0.093086927,0,0.0,HBACK,2,M,A,4
41400.0,0.317590691,0,0.0,STNWG,2,F,D,2
14700.0,0.55578371,0,0.0,HBACK,2,M,B,6
5200.0,0.361396304,0,0.0,HBACK,4,F,A,3
10000.0,0.492813142,0,0.0,HBACK,2,F,C,4
16600.0,0.484599589,1,669.5099993,SEDAN,3,M,B,6
15100.0,0.993839836,1,806.6099987,SEDAN,3,F,F,4
2700.0,0.45174538,0,0.0,HBACK,4,F,D,2
8900.0,0.594113621,0,0.0,HBACK,3,F,C,3
38600.0,0.594113621,0,0.0,STNWG,2,F,B,2
13700.000000000002,0.59137577,0,0.0,HBACK,1,F,B,1
13000.0,0.999315537,0,0.0,HBACK,2,F,A,2
21700.0,0.536618754,0,0.0,SEDAN,2,F,A,4
8700.0,0.854209446,0,0.0,HBACK,3,M,D,3
13100.0,0.405201917,0,0.0,HBACK,2,M,C,1
14200.0,0.594113621,0,0.0,TRUCK,3,M,D,4
30000.0,0.854209446,0,0.0,STNWG,3,M,B,3
31000.0,0.462696783,0,0.0,HDTOP,1,F,C,3
19400.0,0.536618754,0,0.0,SEDAN,1,M,A,6
22340.0,0.854209446,0,0.0,SEDAN,1,M,C,2
21400.0,0.536618754,0,0.0,HDTOP,3,M,D,4
40599.99999999999,0.851471595,1,5434.439987,STNWG,2,M,F,3
11900.0,0.906228611,0,0.0,HBACK,2,F,A,1
7900.0,0.353182752,0,0.0,HBACK,3,F,B,2
17400.0,0.854209446,0,0.0,HBACK,2,F,C,3
25800.0,0.030116359,0,0.0,HBACK,2,M,A,5
7900.0,0.030116359,0,0.0,SEDAN,3,F,E,3
3900.0,0.030116359,0,0.0,HBACK,4,F,B,4
23300.0,0.229979466,0,0.0,MIBUS,3,F,C,3
14300.0,0.219028063,0,0.0,SEDAN,2,F,C,4
47000.0,0.232717317,0,0.0,STNWG,2,M,D,2
15100.0,0.317590691,0,0.0,STNWG,4,M,A,4
16400.0,0.317590691,0,0.0,UTE,2,M,C,4
49800.00000000001,0.722792608,0,0.0,STNWG,1,M,F,5
41700.0,0.722792608,0,0.0,STNWG,2,F,C,2
35600.0,0.906228611,1,3230.599999,MCARA,3,M,F,4
25600.0,0.317590691,0,0.0,STNWG,2,F,A,3
30299.999999999996,0.90349076,1,200.0,TRUCK,1,M,C,1
24100.0,0.339493498,1,407.8399997,STNWG,3,M,E,1
16500.0,0.722792608,0,0.0,SEDAN,3,F,F,3
13300.0,0.224503765,0,0.0,HBACK,3,F,A,6
26500.0,0.290212183,0,0.0,SEDAN,1,M,A,5
17200.0,0.646132786,0,0.0,SEDAN,2,F,B,6
25800.0,0.616016427,0,0.0,STNWG,3,M,D,6
18400.0,0.229979466,0,0.0,PANVN,1,M,C,3
17200.0,0.616016427,1,1619.829998,STNWG,2,F,A,6
30500.0,0.229979466,0,0.0,STNWG,2,F,F,2
18500.0,0.336755647,0,0.0,SEDAN,1,F,D,5
32100.0,0.616016427,0,0.0,STNWG,1,M,B,4
5200.0,0.38329911,0,0.0,SEDAN,4,F,A,6
5000.0,0.616016427,0,0.0,STNWG,4,F,C,3
65400.0,0.229979466,0,0.0,STNWG,1,F,D,4
4300.0,0.38329911,0,0.0,SEDAN,4,F,C,2
10200.0,0.618754278,0,0.0,SEDAN,3,F,B,5
15100.0,0.17522245,0,0.0,SEDAN,3,F,B,2
7800.0,0.342231348,0,0.0,HBACK,3,F,C,4
11399.999999999998,0.38329911,0,0.0,SEDAN,4,F,B,3
17600.0,0.616016427,0,0.0,STNWG,2,M,C,3
21300.0,0.900752909,0,0.0,HDTOP,2,F,A,2
10100.0,0.284736482,0,0.0,STNWG,4,M,B,6
18400.0,0.616016427,0,0.0,SEDAN,2,F,A,6
25800.0,0.616016427,0,0.0,STNWG,3,M,C,5
16299.999999999998,0.646132786,0,0.0,HBACK,2,F,C,5
23400.0,0.616016427,0,0.0,HBACK,3,M,C,5
72000.0,0.616016427,0,0.0,SEDAN,3,F,D,6
10600.0,0.303901437,0,0.0,HBACK,3,F,C,2
32599.999999999996,0.569472964,0,0.0,UTE,2,F,E,2
20099.999999999996,0.854209446,0,0.0,HDTOP,3,M,C,4
23500.0,0.391512663,0,0.0,SEDAN,2,M,C,4
19500.0,0.594113621,0,0.0,HBACK,1,M,A,1
13490.0,0.462696783,0,0.0,HBACK,1,F,C,5
15100.0,0.06844627,0,0.0,HBACK,2,F,C,2
26100.0,0.251882272,0,0.0,STNWG,2,M,B,4
14900.0,0.405201917,0,0.0,HBACK,2,F,C,2
10500.0,0.906228611,0,0.0,HBACK,2,F,F,3
29000.0,0.854209446,0,0.0,STNWG,3,M,B,5
11900.0,0.906228611,0,0.0,HBACK,2,F,B,5
18400.0,0.095824778,0,0.0,STNWG,4,M,A,3
34300.0,0.317590691,0,0.0,STNWG,2,F,D,2
31900.0,0.999315537,0,0.0,HDTOP,3,M,F,4
11399.999999999998,0.344969199,0,0.0,SEDAN,3,M,C,4
26600.0,0.317590691,1,1105.769999,STNWG,1,F,F,5
15900.0,0.229979466,0,0.0,SEDAN,1,F,A,1
5400.0,0.027378508,0,0.0,SEDAN,4,M,A,4
14100.0,0.027378508,0,0.0,HBACK,2,F,C,4
17500.0,0.317590691,0,0.0,HBACK,2,F,B,4
8000.0,0.27652293,0,0.0,HBACK,3,M,C,6
11600.0,0.596851472,1,739.2299995,STNWG,4,F,B,2
7700.0,0.878850103,0,0.0,SEDAN,4,F,C,5
4300.0,0.317590691,0,0.0,HBACK,4,F,B,3
39990.0,0.999315537,0,0.0,SEDAN,1,M,C,1
16400.0,0.090349076,0,0.0,HBACK,2,F,A,4
8900.0,0.229979466,0,0.0,HBACK,3,M,C,2
8200.0,0.462696783,0,0.0,HDTOP,4,F,F,1
25400.0,0.344969199,0,0.0,HDTOP,3,M,C,5
4100.0,0.229979466,0,0.0,HBACK,4,M,A,5
19800.0,0.306639288,0,0.0,SEDAN,3,F,A,3
7600.0,0.229979466,0,0.0,SEDAN,4,F,A,3
18600.0,0.344969199,0,0.0,STNWG,2,F,B,4
8500.0,0.306639288,0,0.0,HBACK,3,F,A,3
19700.0,0.616016427,0,0.0,STNWG,3,M,D,5
13000.0,0.648870637,0,0.0,HBACK,2,F,C,5
2200.0,0.616016427,0,0.0,HBACK,4,F,B,5
19800.0,0.38329911,0,0.0,SEDAN,2,M,A,2
19200.0,0.616016427,1,1010.919998,STNWG,4,M,A,5
13899.999999999998,0.38329911,0,0.0,SEDAN,3,M,C,2
46500.0,0.38329911,0,0.0,STNWG,1,F,E,3
24800.0,0.424366872,0,0.0,STNWG,3,M,C,1
6500.0,0.616016427,0,0.0,SEDAN,4,M,A,4
39800.0,0.616016427,0,0.0,STNWG,2,F,C,2
15000.0,0.616016427,0,0.0,STNWG,4,M,A,3
10000.0,0.314852841,0,0.0,HBACK,2,M,B,4
3900.0,0.616016427,0,0.0,SEDAN,4,M,A,4
30600.0,0.616016427,0,0.0,STNWG,3,F,F,4
11700.0,0.769336071,0,0.0,SEDAN,3,F,D,1
8900.0,0.684462697,1,353.77,SEDAN,3,F,D,3
37000.0,0.41615332,0,0.0,STNWG,3,M,C,1
21500.0,0.646132786,0,0.0,SEDAN,3,F,A,4
4100.0,0.229979466,0,0.0,SEDAN,4,F,E,2
12000.0,0.093086927,0,0.0,HBACK,2,M,C,1
18900.0,0.851471595,0,0.0,STNWG,2,F,A,6
10700.0,0.229979466,0,0.0,SEDAN,3,F,D,2
12200.0,0.605065024,0,0.0,HBACK,3,M,C,4
31900.0,0.999315537,0,0.0,HBACK,2,F,A,4
27900.0,0.377823409,0,0.0,SEDAN,1,F,C,2
23300.0,0.851471595,0,0.0,SEDAN,2,M,C,5
26700.0,0.249144422,0,0.0,STNWG,3,F,D,4
14400.0,0.665297741,1,500.0,UTE,4,M,F,2
16200.000000000002,0.616016427,0,0.0,STNWG,4,F,F,3
5800.0,0.616016427,0,0.0,COUPE,4,F,B,4
10200.0,0.616016427,0,0.0,HBACK,4,F,B,2
52990.00000000001,0.38329911,0,0.0,STNWG,1,F,D,3
20099.999999999996,0.616016427,0,0.0,HDTOP,3,M,E,5
15400.0,0.616016427,1,200.0,STNWG,2,F,B,3
13000.0,0.646132786,0,0.0,HBACK,2,M,C,4
18800.0,0.750171116,1,369.1799998,PANVN,3,M,D,3
14300.0,0.229979466,0,0.0,TRUCK,4,M,D,1
11299.999999999998,0.093086927,0,0.0,STNWG,4,F,B,2
30299.999999999996,0.752908967,0,0.0,STNWG,1,M,D,3
15300.0,0.62696783,0,0.0,STNWG,4,M,A,4
15500.0,0.646132786,0,0.0,HBACK,2,F,C,2
4800.0,0.925393566,0,0.0,HBACK,4,F,A,6
10200.0,0.643394935,0,0.0,HBACK,3,M,C,4
16400.0,0.249144422,0,0.0,STNWG,4,M,C,3
8500.0,0.925393566,0,0.0,HBACK,3,F,B,4
27500.0,0.249144422,0,0.0,STNWG,3,F,B,3
9500.0,0.717316906,0,0.0,SEDAN,4,F,C,6
13000.0,0.720054757,0,0.0,HBACK,1,F,B,3
11200.000000000002,0.503764545,0,0.0,HBACK,2,F,B,1
9800.0,0.229979466,0,0.0,HBACK,3,F,E,6
17600.0,0.229979466,0,0.0,SEDAN,1,F,E,1
15500.0,0.906228611,0,0.0,HDTOP,4,M,D,1
20000.0,0.301163587,0,0.0,SEDAN,1,M,B,4
27200.000000000004,0.249144422,0,0.0,SEDAN,1,F,A,3
4500.0,0.235455168,0,0.0,COUPE,4,F,E,4
4800.0,0.052019165,0,0.0,SEDAN,4,F,C,6
9000.0,0.851471595,0,0.0,SEDAN,4,M,A,2
15900.0,0.027378508,0,0.0,SEDAN,2,F,A,3
10500.0,0.539356605,0,0.0,HBACK,2,M,C,3
55900.0,0.851471595,1,369.1499996,STNWG,1,M,C,3
6700.0,0.925393566,0,0.0,SEDAN,4,M,C,5
12300.0,0.772073922,0,0.0,HBACK,2,F,A,2
16700.0,0.027378508,0,0.0,SEDAN,2,F,E,6
16100.000000000002,0.353182752,0,0.0,HBACK,2,M,B,3
9200.0,0.249144422,0,0.0,HBACK,3,F,C,2
12200.0,0.999315537,0,0.0,HBACK,3,F,E,6
17600.0,0.199863108,0,0.0,HBACK,1,F,B,5
22900.0,0.353182752,1,500.0,STNWG,4,F,F,4
3900.0,0.925393566,1,1379.039997,SEDAN,4,F,C,6
13100.0,0.314852841,0,0.0,HBACK,2,F,A,1
18700.0,0.851471595,0,0.0,HBACK,3,F,A,4
15200.0,0.249144422,0,0.0,HBACK,3,F,A,3
3400.0000000000005,0.213552361,0,0.0,HBACK,4,F,B,1
9000.0,0.720054757,0,0.0,HBACK,3,F,B,4
22900.0,0.249144422,0,0.0,SEDAN,1,M,C,3
52360.0,0.224503765,0,0.0,STNWG,1,M,C,3
16200.000000000002,0.925393566,0,0.0,SEDAN,3,M,A,5
12600.0,0.309377139,0,0.0,HBACK,2,M,B,4
17900.0,0.314852841,0,0.0,SEDAN,2,M,D,4
12000.0,0.224503765,0,0.0,HBACK,1,F,C,3
11700.0,0.646132786,0,0.0,HBACK,2,M,C,3
16400.0,0.689938398,0,0.0,STNWG,3,F,C,4
28700.0,0.224503765,0,0.0,STNWG,2,F,A,3
13799.999999999998,0.90349076,0,0.0,HBACK,2,F,C,3
13000.0,0.90349076,0,0.0,HDTOP,4,F,B,1
28500.0,0.525667351,0,0.0,UTE,2,M,A,1
13899.999999999998,0.911704312,0,0.0,HBACK,3,M,B,5
12400.0,0.177960301,0,0.0,SEDAN,3,F,D,5
14900.0,0.908966461,0,0.0,SEDAN,3,M,E,6
15500.0,0.65982204,0,0.0,HDTOP,4,M,C,6
61800.0,0.027378508,0,0.0,CONVT,4,M,A,4
6200.0,0.908966461,1,367.7299995,STNWG,4,M,C,6
25500.0,0.249144422,0,0.0,SEDAN,1,F,C,5
15900.0,0.772073922,0,0.0,PANVN,3,F,D,5
20099.999999999996,0.646132786,0,0.0,HDTOP,3,F,D,2
7300.0,0.402464066,0,0.0,SEDAN,4,F,B,3
14900.0,0.353182752,0,0.0,HBACK,2,F,C,4
37500.0,0.646132786,0,0.0,STNWG,2,F,E,3
29500.0,0.249144422,0,0.0,STNWG,1,F,D,6
11200.000000000002,0.221765914,0,0.0,HBACK,2,F,B,3
5400.0,0.227241615,0,0.0,HBACK,4,F,A,4
2000.0,0.095824778,0,0.0,HBACK,4,M,A,3
10900.0,0.20807666,0,0.0,HBACK,3,F,C,3
